0.591  0.0345056 -0.471031 -0.00634407 -1.98612 -0.0410504 1.99471 -0.0107576  0.0342964 -0.471207 -0.00630561 -1.98621 -0.0408015 1.99474 -0.0106924  0.325077 0.272916 -0.0597675 0.130753 -0.386736 -0.0498452 -0.101348 
0.601  0.0378327 -0.468238 -0.00695577 -1.98478 -0.0450085 1.9942 -0.0117949  0.0376082 -0.468426 -0.00691451 -1.98487 -0.0447415 1.99423 -0.0117249  0.340339 0.285729 -0.0625735 0.136892 -0.404892 -0.0521853 -0.106106 
0.611  0.0413124 -0.465317 -0.00759554 -1.98338 -0.0491482 1.99367 -0.0128797  0.0410727 -0.465518 -0.00755147 -1.98348 -0.0488631 1.9937 -0.012805  0.355601 0.298542 -0.0653795 0.143031 -0.423049 -0.0545255 -0.110864 
0.621  0.0449447 -0.462267 -0.00826336 -1.98192 -0.0534695 1.99311 -0.0140122  0.0446897 -0.462481 -0.00821649 -1.98202 -0.0531662 1.99315 -0.0139327  0.370863 0.311355 -0.0681854 0.149169 -0.441206 -0.0568656 -0.115622 
0.631  0.0487296 -0.459089 -0.00895925 -1.9804 -0.0579723 1.99253 -0.0151922  0.0484594 -0.459316 -0.00890956 -1.98051 -0.0576509 1.99257 -0.0151079  0.386125 0.324168 -0.0709914 0.155308 -0.459362 -0.0592058 -0.12038 
0.641  0.0526672 -0.455784 -0.00968319 -1.97882 -0.0626567 1.99192 -0.0164198  0.0523817 -0.456023 -0.0096307 -1.97893 -0.0623171 1.99197 -0.0163308  0.401387 0.336981 -0.0737974 0.161447 -0.477519 -0.0615459 -0.125138 
0.651  0.0567574 -0.45235 -0.0104352 -1.97717 -0.0675227 1.9913 -0.0176949  0.0564566 -0.452602 -0.0103799 -1.97729 -0.0671649 1.99134 -0.0176012  0.416648 0.349794 -0.0766034 0.167585 -0.495675 -0.0638861 -0.129896 
0.661  0.0610002 -0.448788 -0.0112153 -1.97546 -0.0725702 1.99065 -0.0190177  0.0606841 -0.449053 -0.0111572 -1.97559 -0.0721943 1.9907 -0.0189192  0.43191 0.362607 -0.0794094 0.173724 -0.513832 -0.0662262 -0.134654 
0.671  0.0653956 -0.445098 -0.0120234 -1.9737 -0.0777994 1.98997 -0.020388  0.0650643 -0.445376 -0.0119625 -1.97383 -0.0774053 1.99002 -0.0202848  0.447172 0.37542 -0.0822154 0.179863 -0.531989 -0.0685664 -0.139412 
0.681  0.0699436 -0.441279 -0.0128596 -1.97187 -0.08321 1.98928 -0.0218059  0.0695971 -0.44157 -0.0127959 -1.97201 -0.0827978 1.98933 -0.0216979  0.462434 0.388233 -0.0850213 0.186001 -0.550145 -0.0709065 -0.144171 
0.691  0.0746442 -0.437333 -0.0137238 -1.96998 -0.0888023 1.98855 -0.0232714  0.0742825 -0.437637 -0.0136573 -1.97012 -0.0883718 1.98861 -0.0231586  0.477696 0.401046 -0.0878273 0.19214 -0.568302 -0.0732467 -0.148929 
